Focus8 Data Dictionary,,,,,,,
,,,,,,,
Master Tables:,,,,,,,
81,mCore_Mapping,All-Masters,Stores intercompany transaction mapping details,\Home\Company\InterCompanyTransactions\Mapping,"mCore_MasterMapping
mCore_VoucherMapping_0",iMapId,iMapId
82,mCore_MasterMapping,All-Masters,Table stores master tag wise inter company mapping details.MasterType are mapped such as account master to account master or product master to product master,\Home\Company\InterCompanyTransactions\Mapping,"
cCore_MasterDef 
mCore_Mapping 
mCore_MasterMappingDetails",iMasterMappingId,"iCurrentMasterTypeId 
iMapId                               iMasterMappingId"
83,mCore_MasterMappingDetails,All-Masters,Contains detailed master Id wise inter company mapping. The account.iMasterId of base company is displayed along with the mapped account.iMasterId of target company.,\Home\Company\InterCompanyTransactions\Mapping,mCore_MasterMapping ,iMasterMappingId,iMasterMappingId
84,mCore_Menu,All-Masters,Stores menus for all screens ,Not Applicable,"mCore_Menu 
cCore_MenuLanguages
mSec_MenuExceptions
mSec_MenuSpecificRights
mSec_ProfileDetails
mSec_RolesExtraRights",iMenuId,"iMenuGroupId
iMenuId"
85,mCore_ModifierIndexCaption,All-Masters,Stores modifier index data.  Modifiers are defined in product masters. Modifiers have iProductType value of 6 in product master table. ,\Home\Masters\Product\Product->select product->modifier->define modifier,mCore_Product ,iMasterId,iMasterId
86,mCore_PaymentTerms,All-Masters,Stores payment terms data,\Financials\CreditManagement\PaymentTerms,mCore_Account ,iPaymentTermId,iAccountId
87,mCore_Product,All-Masters,Stores Product master data,\Home\Masters\Product\Product,mSec_Users                                                                              This table is referenced by multiple tables ,iMasterId,iCreatedBy                   iModifiedBy
88,mCore_WorkFlow_0,All-Masters,Stores work flow master data.,\Home\Settings\DesignWorkFlow,mCore_LinkPath_0,iWorkFlowId,iWorkFlowId
89,mCal_Calendar,Calendar,Stores master data for calendar,\Home\Utilities\Calendar,"mCal_Exceptions
mCal_ShiftHeader
mCal_WorkWeek",iCalId,iCalId
90,mMnt_Breakdownstandardreason,Maintenance Management,Stores master data of breakdown standard reason ,\Home\Masters\Maintenance\BreakDownStandardReason,"mSec_Users 
mMnt_BreakdownstandardreasonLanguage
mMnt_BreakdownstandardreasonTreeDetails
mMnt_BreakdownstandardreasonTreeDetails",iMasterId,"iCreatedBy
iModifiedBy
iMasterId
iParentId"
91,mMRP_BomHeader,Material Requirement Planning,Stores Bills of material header data,\Production\BillOfMaterial,"mMRP_BomExtraHeader
mMRP_BomVariantHeader",iBomId,iBomId
92,mMRP_BOMBody,Material Requirement Planning,Stores Bills of material body data,\Production\BillOfMaterial,"mCore_Product 
mMRP_BomVariantHeader 
mMRP_BomExtraBody",iBomBodyId,"iProduct
iVariantId
iBomBodyId"
93,mMrp_Capacity,Material Requirement Planning,Stores Capacity masters data ,\Home\Masters\MRP\Capacity,"mSec_Users 
mMrp_CapacityLanguage
mMrp_CapacityTreeDetails
mMrp_CapacityTreeDetails
muMrp_WorkCenter_Capacity_Details",iMasterId,"iCreatedBy
iModifiedBy
iMasterId
iParentId"
94,mMrp_Holiday,Material Requirement Planning,Table contains master data of plant holiday,\Home\Masters\MRP\Holiday,"mSec_Users 
mMrp_HolidayLanguage
mMrp_HolidayTreeDetails
mMrp_HolidayTreeDetails",iMasterId,"iCreatedBy
iModifiedBy
iMasterId
iParentId"
95,mPay_Employee,Payroll,Stores employee master data,\Home\Masters\Payroll\Employee,"mSec_Users 
mPay_EmployeeLanguage
mPay_EmployeeTreeDetails
mPos_EmployeeDiscountDefinition
mPos_HomeDelivery
muCore_Bins_TaskManager_Details
muFixA_FixedAsset
muMrp_WorkCenter
muPay_Employee
muPay_Trainer
muPos_Counter
tWms_TaskManager",iMasterId,"iCreatedBy
iModifiedBy
iMasterId
iParentId
iRevisedBy"
96,mPay_Specialization,Payroll,Table stores payroll modules specialization master information,\Home\Masters\Payroll\Specialization,"mSec_Users                                                                      mPay_SpecializationLanguage
mPay_SpecializationTreeDetails
mPay_SpecializationTreeDetails",iMasterId,"iCreatedBy
iModifiedBy
iMasterId
iParentId"
97,mPos_Member,Point of Sales,Member master data in POS. Members are those regular customers who subscribe to stores membership plans to get certain scheme benefits.,\Home\Masters\PointOfSale\Member\Member,"mSec_Users 
mPos_CreditNote_ConvertPoints
mPos_GiftVoucherSales
mPos_HomeDelivery
mPos_Member_PointsAvl
mPos_MemberLanguage
mPos_MemberPointsAcquired
mPos_MemberTreeDetails
mPos_MemberTreeDetails
mPos_ResvTblDtls
muPos_Member_CardDetails
tPos_SchemesAppliedBody3",iMasterId,"iCreatedBy
iModifiedBy
iMasterId
iParentId
iMemberId"
98,mPos_Outlet,Point of Sales,Stores outlet master data,\Home\Masters\PointOfSale\Outlet,"mSec_Users                                                                     mPos_CashInOut
mPos_DiscountVoucherRegistration
mPos_FreeSchemeOutlets
mPos_GiftVoucherRegistration
mPos_GiftVoucherSales
mPos_GiftVoucherTransfer
mPos_HoldTransaction
mPos_HomeDelivery
mPos_KdsConfiguration
mPos_OutletLanguage
mPos_OutletPreferences
mPos_OutletTreeDetails
mPos_OutletTreeDetails
mPos_ProdPromotionMsgs
mPos_ResvTblDtls
mPos_SchemeOutlets
mPos_SchemesDiscOutlets
mPos_TblLayout
mResPos_WaiterDefault
muCore_Product_Outlet_Details
muPos_Counter
muPos_KitchenDisplaySystem
muPos_Member_OtherDetails
muPos_Table",iMasterId,"iCreatedBy
iModifiedBy
iMasterId
iParentId"
99,mQC_ProductTestMapping,Quality Control,Stores product test mapping information.,\QualityControl\Transaction\MapTestToProducts,"
mCore_Product                      mQC_TestDefinitionHeader",iMappingId,iProductId                         iTestDefHeaderId
100,mSec_Users,Security,Stores user details having acces to application.The table is central to Focus8's security module.,\Home\Security\CreateUsers,"cCore_LanguageSupported 
mSec_Users                                     mSec_PasswordPolicy 
mCore_TimeZone                                                                This Table is referenced by multiple tables",iUserId,"iTimeZone
iPwdPolicyId
iLanguage
iGroupId
iAltLanguage"
,,,,,,,
Customization Tables:,,,,,,,
Serial No,Object Name,Module,Objective,Document that updates the table,Linked Tables, Identity Field,Linked Field
1,cCore_AllocateUserCustomization,ALL-Customization Data,Provides user rights information related to customization in WMS,Not Applicable,,iScreenTypeId,
2,cCore_AppMenu,ALL-Customization Data,App Menu is a feature to customize the Focus application menu on mobile device when Focus on Mobile is integrated with Application. The table stores AppMenu data.,\Home\Utilities\AppMenusCustomization,"cCore_AppMenuLanguage
cCore_AppParam",iAppMenuId,iAppMenuId                                            
3,cCore_AppMenuGroup,ALL-Customization Data,Stores AppMenu Group data,\Home\Utilities\AppMenusCustomization->CreateGroup,,iGroupId,
4,cCore_AppMenuLanguage,ALL-Customization Data,Stores AppMenu language data,\Home\Utilities\AppMenusCustomization,cCore_AppMenu ,iId,iAppMenuId                                            
5,cCore_AppMenuParam,ALL-Customization Data,Stores Appmenu Parameters data,\Home\Utilities\AppMenusCustomization,cCore_AppMenu ,iId,iAppMenuId                                            
6,cCore_BatchCodeGeneration_0,ALL-Customization Data,Contains Batch code generation body data.,\Home\Settings\BatchCodeGeneration,,iId,
7,cCore_BRSGridCustomization,ALL-Customization Data,Stores screen customization data of bank reconciliation. Table contains fields present in BR screen at header and body level. ,\Financials\Reports\CashAndBankBooks\BankReconciliation->Customize,,iScreenTypeId,
8,cCore_CashFlowMasters_0,ALL-Customization Data,Stores cashflow masters data,\Financials\FinalAccounts\CashFlow,cCore_CashFlowTemplate_0 ,iId,iTemplateId
9,cCore_CashFlowProjected_0,ALL-Customization Data,Stores cashflow projected data,\Financials\FinalAccounts\CashFlow,cCore_CashFlowTemplate_0 ,iId,iTemplateId
10,cCore_CashFlowTemplate_0,ALL-Customization Data,Stores cashflow template header data,\Financials\FinalAccounts\CashFlow,,iTemplateId,
11,cCore_CashFlowTemplateData_0,ALL-Customization Data,Stores cashflow template body data,\Financials\FinalAccounts\CashFlow,,iId,
12,cCore_ChequeDiscounting,ALL-Customization Data,Includes cheque discounting data with respect to Post dated receipt,\Financials\Reports\CashAndBankBooks\ChequeDiscounting,,iPDRTransId,
13,cCore_ConstraintsFields,ALL-Customization Data,Stores list of constraint fields ,\Home\Settings\ConfigureMaster->Select master->Customize->UniqueConstrains,"cCore_UniqueConstraints 
cCore_Fields ",iConstraintId,iConstraintId                          iFieldId
