Focus8 Data Dictionary,,,,,,,
,,,,,,,
Master Tables:,,,,,,,
325,tCore_TransAuditLog6400_0,ALL-Transaction,Maintains audit log data for modifications done in purchase returns,\purchase returns->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
326,tCore_TransAuditLog6656_0,ALL-Transaction,Maintains audit log data for modifications done in issues to production,\issues to production->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
327,tCore_TransAuditLog6912_0,ALL-Transaction,Maintains audit log data for modifications done in job work issues,\job work issues->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
328,tCore_TransAuditLog7168_0,ALL-Transaction,Maintains audit log data for modifications done in post dated payments,\post dated payments->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
329,tCore_TransAuditLog7424_0,ALL-Transaction,Maintains audit log data for modifications done in sales quotation,\sales quotation->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
330,tCore_TransAuditLog768_0,ALL-Transaction,Maintains audit log data for modifications done in purchase vouchers,\purchase vouchers->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
331,tCore_TransAuditLog7680_0,ALL-Transaction,Maintains audit log data for modifications done in job orders,\job orders->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
332,tCore_TransAuditLog7936_0,ALL-Transaction,Maintains audit log data for modifications done in material requisition,\material requisition->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
333,tCore_TransAuditLog8192_0,ALL-Transaction,Maintains audit log data for modifications done in request for quote,\request for quote->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
334,tCore_TransAuditLog8448_0,ALL-Transaction,Maintains audit log data for modifications done in forex JV,\forex JV->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
335,tCore_TransAuditLog8704_0,ALL-Transaction,Maintains audit log data for modifications done in journal entries,\journal entries->Edit Transaction,cCore_Fields                                   tCore_TransAuditLog_0 ,iLogId,"iFieldId
iAuditId    "
336,tCore_TransAuth_0,ALL-Transaction,Stores transaction authorization data. Every single transaction that requisites authorization are stored in this table in order of ibodyid,\Home\Settings\TransactionAuthorizations->Select voucher->Create authorization ,"mCore_AuthorizationDetails_0 
tCore_Data_0 
tCore_TransAuthUsers_0",iAuthId,iAuthNodeId                               iBodyId                                         iAuthId
337,tCore_TransAuthUsers_0,ALL-Transaction,Authorized user details and authorization data are stored in this table,"\Home\Settings\TransactionAuthorizations->Select voucher->Create authorization 
->UserSelection",tCore_TransAuth_0 ,iAuthUserId,iAuthId
338,tCore_Units_AuditLogDetails,ALL-Transaction,Stores units audit trail data,\Home\Masters\Product\Units,"tCore_MasterAuditLog 
cCore_Fields ",iAuditId,iAuditId                                               iFieldId
339,tCore_UsageLog,ALL-Transaction,Stores usage logs data for usage of application,\Home\Security\UsageLog,"mCore_Menu 
tSec_UserLog ",iUserLogId,iUserLogId                                   iMenuId
340,tCore_VoucherCustomizationDetails_0,ALL-Transaction,Stores voucher customization body data->internalTable,Not Applicable,tCore_VoucherCustomizationHeader_0,iDetailId,iHeaderId
341,tCore_VoucherCustomizationHeader_0,ALL-Transaction,Stores voucher customization header data->internalTable,Not Applicable,tCore_VoucherCustomizationDetails_0,iHeaderId,iHeaderId
342,tCore_Warehouse_AuditLogDetails,ALL-Transaction,Stores warehouse masters audit log details,\Home\Masters\Warehouse->Edit Warehouse to get this table populated,"tCore_MasterAuditLog 
cCore_Fields ",iAuditId,iAuditId                                               iFieldId
,,,,,,,
Security Tables:,,,,,,,
Serial No,Object Name,Module,Objective,Document that updates the table,Linked Tables, Identity Field,Linked Field
1,mSec_Actions,Security,"Stores actions on profile,role or users that are to be restricted",Default,"mSec_MenuExceptions
mSec_MenuSpecificRights
mSec_ProfileDetails
mSec_RolesExtraRights",iActionId,iActionId
2,mSec_MenuExceptions,Security,Menu specific action exceptions,Default,mSec_Actions                                                  mCore_Menu ,iMenuId,"iActionId
iMenuId"
3,mSec_MenuSpecificRights,Security,Menu specific actionable rights ,Default,mSec_Actions                                                  mCore_Menu ,iMenuId,"iActionId
iMenuId"
4,mSec_MenuTypeRights,Security,Menu type and actions are stored in this table,Default,,"iMenuType
iActionId",
5,mSec_NetworkPolicy,Security,Stores network policy data ,\Home\Security\NetworkPolicy,,iIPRangeId,
6,mSec_PasswordPolicy,Security,Stores password policy details,\Home\Security\PasswordPolicy,"mSec_RoleHeader
mSec_Users",iPwdPolicyId,iPwdPolicyId
7,mSec_ProfileDetails,Security,Stores profile detailed information ,\Home\Security\CreateProfile->Assign Rights,mSec_Actions                                                  mCore_Menu                                        mSec_ProfileHeader ,iProfileId                             iMenuId                             iActionId,iProfileId                             iMenuId                             iActionId
8,mSec_ProfileHeader,Security,Stores profile header information,\Home\Security\CreateProfile,"mSec_ProfileDetails
mSec_RolesProfiles",iProfileId,iProfileId
9,mSec_RoleHeader,Security,Stores role header data,\Home\Security\CreateRole,"mSec_PasswordPolicy           cCore_VoucherPanelRoles_0
cCore_VoucherViewRoles_0
mSec_RolesExtraRights
mSec_RolesMasters
mSec_RolesMasterTrees
mSec_RolesProfiles
mSec_RoleTransRights
mSec_Users_Roles",iRoleId,"iPwdPolicyId
iRoleId"
10,mSec_RolesExtraRights,Security,Stores role additional overlapping the rights provided to mapped profile,\Home\Security\CreateRole->AssignProfile->Additions,"mSec_Actions                                                 mCore_Menu 
mSec_RoleHeader ",iRoleId,"iRoleId
iMenuId
iActionId"
11,mSec_RolesMasters,Security,Stores role accessible master information,\Home\Security\CreateRole->AssignProfile->RestrictionForEntry,cCore_MasterDef                                     mSec_RoleHeader ,iRoleId,"iMasterTypeId
iRoleId"
12,mSec_RolesMasterTrees,Security,Stores information involving restriction to master trees for a role,\Home\Security\CreateRole->AssignProfile->RestrictionForTrees,cCore_MasterDef                                  mSec_RoleHeader ,iRoleId,"iMasterTypeId
iRoleId"
13,mSec_RolesProfiles,Security,Table holds roles masters mapped to profiles,\Home\Security\CreateRole->AssignProfile,"
Sec_ProfileHeader                                mSec_RoleHeader ",iRoleId,"iProfileId
iRoleId"
14,mSec_RoleTransRights,Security,Stores transaction previleges data for roles,\Home\Security\CreateRole->AssignProfile->TransactionRights,mSec_RoleHeader ,iRoleId,iRoleId
15,mSec_UserComputers,Security,Stores user device information ,\Home\Security\CreateUser\Restrictions,Sec_UserDomains ,"
iDomainResId                                        sComputerName",iDomainResId
16,mSec_UserDomains,Security,Stores focus users domain data,\Home\Security\CreateUser\Restrictions,mSec_Users                                     mSec_UserComputers,iDomainRestrictionId,iUserId              iDomainRestrictionId
17,mSec_UserMasterRestriction,Security,Stores master restriction data for users ,\Home\Security\CreateUser\RestrictionsFor Entry,mSec_Users ,iUserId,iUserId
18,mSec_Users,Security,Table contains users information assigned to use application,\Home\Security\CreateUser,"cCore_LanguageSupported                           mSec_Users 
cCore_LanguageSupported               mSec_PasswordPolicy                            mCore_TimeZone 
This table is referenced by multiple tables",iUserId,"iUserId  
iTimeZone                         iPwdPolicyId                  iLanguage                   iAltLanguage                    iGroupId"
19,mSec_Users_Roles,Security,Stores mapping data of users with roles,\Home\Security\CreateUser->UserInformation->Provide ERP Role,mSec_RoleHeader ,iUserId                                                                      iYearId,iERPRole
20,mSec_UsersPOS,Security,Stores Pos users data,\Home\Security\CreateUser,mSec_Users ,iUserId,iUserId
21,tSec_PasswordHistory,Security,Stores password history data for each users,\Home\Security\CreateUser,mSec_Users ,iUserId,iUserId
22,tSec_UserLog,Security,Stores user log data ,"\Home\Security\CreateUser->Login as user
\Home\Security\UsageLog","mSec_Users 
Core_SettingAuditLog_0                         tCore_OTPLogin                         tCore_TransAuditLog_0
tCore_UsageLog
tSec_UserLog",iSessionId,"iSessionId
iUserId"
23,tSec_UserLogDetails,Security,Stores user log details,"\Home\Security\CreateUser->Login as user
\Home\Security\UsageLog","mCore_Menu 
tSec_UserLog ",iSessionId,"iSessionId
iMenuId"
,,,,,,,
Fixed Asset Tables:,,,,,,,
Serial No,Object Name,Module,Objective,Document that updates the table,Linked Tables, Identity Field,Linked Field
1,mFixA_AssetCapitalization,Fixed Assets-Masters,Stores capitalization of assets data,\FixedAsset\Transaction\CapitalizationOfAsset,,iMasterId,
2,mFixA_AssetChgValBody_0,Fixed Assets-Masters,Stores body details of add asset value or reduce asset value voucher,"\FixedAsset\Transaction\AddAssetValue
\FixedAsset\Transaction\ReduceAssetValue",mFixA_FixedAsset                 mFixA_AssetChgValHeader_0 ,iChgValDetailId,iAssetId                            iChgValHeaderId          
3,mFixA_AssetChgValHeader_0,Fixed Assets-Masters,Stores header details of add asset value or reduce asset value voucher,"\FixedAsset\Transaction\AddAssetValue
\FixedAsset\Transaction\ReduceAssetValue",mFixA_FixedAsset                 mFixA_AssetChgValBody_0,iChgValHeaderId,iAssetId                            iChgValHeaderId          
4,mFixA_AssetDisposalBody_0,Fixed Assets-Masters,Table holds disposal of asset vouchers body data,\FixedAsset\Transaction\DisposalOfAsset,AssetDisposalHeader_0                             mFixA_FixedAsset ,iAssetDisDetId,"iAssetId
iAssetDisHeaderId"
5,mFixA_AssetDisposalHeader_0,Fixed Assets-Masters,Table holds disposal of asset vouchers header data,\FixedAsset\Transaction\DisposalOfAsset,mFixA_FixedAsset                 mFixA_AssetDisposalBody_0,iAssetDisHeaderId,"iAssetId
iAssetDisHeaderId"
6,mFixA_AssetTransfer_0,Fixed Assets-Masters,Contains transfer of assets vouchers data,\FixedAsset\Transaction\TransferOfAsset,mFixA_FixedAsset ,iTransferId,iAssetId
7,mFixA_AssetUsage,Fixed Assets-Masters,Contains Assets usage data,\FixedAsset\Transaction\AssetUsage,"mFixA_FixedAsset 
",iUsageId,iAsset
8,mFixA_FixedAsset,Fixed Assets-Masters,Stores fixed assets masters data,\Home\Masters\FixedAssets,"mSec_Users 
mFixA_AssetChgValBody_0
mFixA_AssetChgValHeader_0
mFixA_AssetDisposalBody_0
mFixA_AssetDisposalHeader_0
mFixA_AssetTransfer_0
mFixA_AssetUsage
mFixA_FixedAssetLanguage
mFixA_FixedAssetTreeDetails
mFixA_FixedAssetTreeDetails
muFixA_FixedAsset
muMrp_WorkCenter",iMasterId,"iCreatedBy                      iModifiedBy                  iFixedAsset                     iParentAsset
iParentId
iAssetId"
9,mFixA_FixedAssetLanguage,Fixed Assets-Masters,Stores fixed assets language data,\Home\Masters\FixedAssets,0Core_LanguageSupported                             mFixA_FixedAsset ,iMasterId,iMasterId                     iLanguageId
10,mFixA_FixedAssetTree,Fixed Assets-Masters,Stores fixed assets tree data,\Home\Masters\FixedAssets,"mFixA_FixedAssetTreeDetails
FixA_FixedAssetTreeFields",iTreeId,iTreeId
11,mFixA_FixedAssetTreeDetails,Fixed Assets-Masters,Stores fixed assets tree details data,\Home\Masters\FixedAssets,"
mFixA_FixedAsset 
mFixA_FixedAsset                           mFixA_FixedAssetTree ",iTreeId,"iMasterId
IparentId
iTreeId"
12,mFixA_FixedAssetTreeFields,Fixed Assets-Masters,Stores fixed assets tree fields data,\Home\Masters\FixedAssets,cCore_MasterFields                    mFixA_FixedAssetTree ,iTreeId                             iSequence,"iFieldId
iTreeId"
13,mFixA_Insurance,Fixed Assets-Masters,Stores insurance masters data,\Home\Masters\Insurance,"mSec_Users 
mFixA_InsuranceLanguage
mFixA_InsuranceTreeDetails
mFixA_InsuranceTreeDetails
muFixA_FixedAsset_InsuranceDetails",iMasterId,"iInsuranceCompanyName iParentId                             iCreatedBy                      iModifiedBy
iMasterId"
14,mFixA_InsuranceLanguage,Fixed Assets-Masters,Stores insurance language data,\Home\Masters\Insurance->Give alias information,cCore_LanguageSupported                      FixA_Insurance ,iMasterId,"iMasterId               
iLanguageId"
15,mFixA_InsuranceTree,Fixed Assets-Masters,Stores insurance tree data,\Home\Masters\Insurance,"mFixA_InsuranceTreeDetails
mFixA_InsuranceTreeFields",iTreeId,iTreeId
16,mFixA_InsuranceTreeDetails,Fixed Assets-Masters,Stores insurance tree details data,\Home\Masters\Insurance,mFixA_Insurance                           mFixA_InsuranceTree ,iMasterId,"iMasterId
iParentId
iTreeId"
17,mFixA_InsuranceTreeFields,Fixed Assets-Masters,Stores insurance tree fields data,\Home\Masters\Insurance->settings->add field,cCore_MasterFields                       mFixA_InsuranceTree ,iTreeId                             iSequence,"iFieldId                          
iTreeId"
